method,score
EFV3_EUTROPHICATION_FRESHWATER,1.61e0
EFV3_CLIMATE_CHANGE,8.10e3
EFV3_PARTICULATE_MATTER_FORMATION,5.95e-4
EFV3_ACIDIFICATION,5.56e1
EFV3_ECOTOXICITY_FRESHWATER,4.27e4
EFV3_IONISING_RADIATION,4.22e3
EFV3_PHOTOCHEMICAL_OZONE_FORMATION,4.06e1
EFV3_EUTROPHICATION_MARINE,1.95e1
EFV3_EUTROPHICATION_TERRESTRIAL,1.77e2
EFV3_ENERGY_RESOURCES,6.50e4
EFV3_HUMAN_TOXICITY_NON_CARCINOGENIC,2.30e-4
EFV3_OZONE_DEPLETION,5.36e-2
EFV3_HUMAN_TOXICITY_CARCINOGENIC,1.69e-5
EFV3_MATERIAL_RESOURCES,6.36e-2
EFV3_WATER_USE,1.15e4
EFV3_LAND_USE,8.19e5
